epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
102,3831.57,0.31689,0.37414,0.15024,0.00565,0.16994,0.99941,1,0.995,0.98252,0.99941,1,0.995,0.97065,0.19409,0.26522,0.06628,0.0063,0,0.000497153,0.000497153,0.000497153
103,3868.65,0.31538,0.38507,0.1452,0.00559,0.17765,0.99947,1,0.995,0.97826,0.99947,1,0.995,0.96866,0.20511,0.26038,0.06785,0.00666,0,0.000479531,0.000479531,0.000479531
104,3903.29,0.32064,0.37136,0.14977,0.00576,0.18324,0.99265,0.99988,0.99441,0.98256,0.99265,0.99988,0.99441,0.97074,0.17172,0.2651,0.07244,0.0057,0,0.000462142,0.000462142,0.000462142
105,3938.1,0.30334,0.38424,0.15073,0.00525,0.18527,0.99968,1,0.995,0.9824,0.99968,1,0.995,0.96876,0.17291,0.26331,0.05903,0.00567,0,0.000444994,0.000444994,0.000444994
106,3974.86,0.30287,0.35717,0.14249,0.00526,0.15814,0.99962,0.99259,0.995,0.97138,0.99962,0.99259,0.995,0.96571,0.23172,0.27377,0.08083,0.00734,0,0.000428093,0.000428093,0.000428093
107,4009.47,0.29887,0.3762,0.14874,0.00513,0.16646,0.9932,1,0.995,0.97223,0.9932,1,0.995,0.96706,0.20643,0.28606,0.07567,0.00693,0,0.000411447,0.000411447,0.000411447
108,4043.95,0.30089,0.37011,0.13825,0.00508,0.18381,0.99956,1,0.995,0.97828,0.99956,1,0.995,0.9717,0.20869,0.26092,0.06945,0.00701,0,0.000395064,0.000395064,0.000395064
109,4079.8,0.28754,0.36469,0.13211,0.00495,0.15898,0.96438,1,0.99373,0.97756,0.96438,1,0.99373,0.9628,0.19073,0.26448,0.09767,0.00627,0,0.00037895,0.00037895,0.00037895
110,4115.37,0.28953,0.36699,0.13007,0.00488,0.16241,1,0.99897,0.995,0.97855,1,0.99897,0.995,0.96668,0.19264,0.26502,0.0721,0.00651,0,0.000363114,0.000363114,0.000363114
111,4152.27,0.28765,0.36431,0.14434,0.00481,0.15447,1,0.99952,0.995,0.97544,1,0.99952,0.995,0.96958,0.20167,0.25208,0.07083,0.00692,0,0.000347561,0.000347561,0.000347561
112,4189.04,0.2946,0.3679,0.1442,0.00493,0.16202,1,0.9978,0.995,0.98411,1,0.9978,0.995,0.97288,0.18187,0.26195,0.08233,0.00589,0,0.000332298,0.000332298,0.000332298
113,4224.22,0.29498,0.37915,0.15165,0.00494,0.15558,0.99992,1,0.995,0.97393,0.99992,1,0.995,0.96196,0.18611,0.29194,0.06644,0.00593,0,0.000317333,0.000317333,0.000317333
114,4260.8,0.29033,0.35519,0.13235,0.00514,0.16411,0.99877,1,0.995,0.98046,0.99877,1,0.995,0.96997,0.17384,0.27218,0.06518,0.00568,0,0.000302672,0.000302672,0.000302672
115,4295.74,0.29457,0.35665,0.13548,0.00533,0.15558,0.99264,0.99854,0.995,0.9821,0.99264,0.99854,0.995,0.97259,0.15871,0.25956,0.06584,0.00516,0,0.000288321,0.000288321,0.000288321
116,4330.35,0.27794,0.35303,0.13238,0.00488,0.16173,0.99954,1,0.995,0.9837,0.99954,1,0.995,0.96877,0.16463,0.25769,0.05613,0.00539,0,0.000274287,0.000274287,0.000274287
117,4366.73,0.28652,0.34252,0.14038,0.00497,0.15311,1,0.99982,0.995,0.98129,1,0.99982,0.995,0.97008,0.17049,0.26158,0.06631,0.00557,0,0.000260575,0.000260575,0.000260575
118,4401.4,0.28362,0.38332,0.13628,0.00474,0.17344,0.99912,1,0.995,0.98201,0.99912,1,0.995,0.96414,0.17965,0.27572,0.06922,0.00584,0,0.000247192,0.000247192,0.000247192
119,4436.51,0.27465,0.33842,0.12532,0.00457,0.15151,0.99952,1,0.995,0.98271,0.99952,1,0.995,0.97126,0.16703,0.26759,0.06219,0.00541,0,0.000234143,0.000234143,0.000234143
120,4473.12,0.28617,0.34602,0.14215,0.00474,0.1523,0.98531,1,0.99493,0.98316,0.98531,1,0.99493,0.97059,0.14731,0.26228,0.06772,0.00478,0,0.000221435,0.000221435,0.000221435
